event_id,n_priced,n_distinct_price,price_first,price_last,price_lo,price_hi,abs_range,rel_range,n_changes,total_abs_variation,is_flat
rZ7HnEZ1Af06vd,18,2,260.05,569.05,260.05,569.05,308.99999999999994,1.1882330321092094,1,308.99999999999994,False
rZ7HnEZ1Afe6aV,18,2,40.34,318.44,40.34,318.44,278.1,6.893901834407536,1,278.1,False
rZ7HnEZ1Af-Pad,18,2,256.18,0.0,0.0,256.18,256.18,1.0,1,256.18,False
rZ7HnEZ1AfFF-V,5,2,263.35,39.32,39.32,263.35,224.03000000000003,0.8506929941142966,1,224.03000000000003,False
rZ7HnEZ1Af-P_K,18,2,41.38,263.35,41.38,263.35,221.97000000000003,5.364185596906719,1,221.97000000000003,False
rZ7HnEZ1Afx6kK,18,2,263.35,41.9,41.9,263.35,221.45000000000002,0.8408961458135561,1,221.45000000000002,False
rZ7HnEZ1Afqy4K,18,2,185.69,0.0,0.0,185.69,185.69,1.0,1,185.69,False
rZ7HnEZ1AfqZGN,14,2,181.22,0.0,0.0,181.22,181.22,1.0,1,181.22,False
rZ7HnEZ1AfPP0K,17,3,88.97,34.47,34.47,197.97,163.5,1.837698100483309,2,272.5,False
rZ7HnEZ1AfPY-K,18,3,155.92,38.36,0.0,155.92,155.92,1.0,2,194.27999999999997,False
rZ7HnEZ1AfFd-V,7,2,189.6,39.26,39.26,189.6,150.34,0.7929324894514769,1,150.34,False
rZ7HnEZ1AfkoQf,7,3,29.95,0.0,0.0,142.95,142.95,4.772954924874791,3,315.84999999999997,False
rZ7HnEZ1AfPFoS,18,2,170.72,39.92,39.92,170.72,130.8,0.7661668228678539,1,130.8,False
rZ7HnEZ1AfFZZf,6,2,167.01,43.67,43.67,167.01,123.33999999999999,0.7385186515777498,1,123.33999999999999,False
rZ7HnEZ1Afkoj0,7,2,19.95,142.95,19.95,142.95,122.99999999999999,6.165413533834586,1,122.99999999999999,False
rZ7HnEZ1Afko37,14,2,0.0,122.82,0.0,122.82,122.82,,1,122.82,False
rZ7HnEZ1AfFee7,6,2,166.99,45.19,45.19,166.99,121.80000000000001,0.7293849931133601,1,121.80000000000001,False
rZ7HnEZ1AfPVPd,14,2,148.26,27.24,27.24,148.26,121.02,0.8162687171185755,1,121.02,False
rZ7HnEZ1Af09qN,14,3,120.92,29.77,0.0,120.92,120.92,1.0,2,150.69,False
rZ7HnEZ1Af0brd,14,3,120.92,29.77,0.0,120.92,120.92,1.0,2,150.69,False
rZ7HnEZ1Afk8p7,13,3,0.0,53.04,0.0,114.47,114.47,,2,175.9,False
rZ7HnEZ1AfPVaK,14,2,146.51,34.61,34.61,146.51,111.89999999999999,0.7637703910995837,1,111.89999999999999,False
rZ7HnEZ1Af0IAS,7,3,0.0,32.0,0.0,110.35,110.35,,2,188.7,False
rZ7HnEZ1AfFo_f,7,2,0.0,108.64,0.0,108.64,108.64,,1,108.64,False
rZ7HnEZ1Af0y_S,18,2,148.41,41.98,41.98,148.41,106.43,0.7171349639512163,1,106.43,False
rZ7HnEZ1Afk4q0,14,2,28.83,28.83,28.83,131.83,103.00000000000001,3.572667360388485,2,206.00000000000003,False
rZ7HnEZ1Afkojf,17,2,0.0,101.75,0.0,101.75,101.75,,1,101.75,False
rZ7HnEZ1AfJkjN,17,2,0.0,101.58,0.0,101.58,101.58,,1,101.58,False
rZ7HnEZ1AfPYGd,17,2,37.45,134.71,37.45,134.71,97.26,2.5970627503337784,1,97.26,False
rZ7HnEZ1AfeA40,18,2,0.0,97.05,0.0,97.05,97.05,,1,97.05,False
rZ7HnEZ1AfPVvd,18,2,141.34,50.51,50.51,141.34,90.83000000000001,0.6426347813782369,1,90.83000000000001,False
rZ7HnEZ1Af0keK,18,2,109.0,20.0,20.0,109.0,89.0,0.8165137614678899,1,89.0,False
rZ7HnEZ1Afk43f,14,2,0.0,87.54,0.0,87.54,87.54,,1,87.54,False
rZ7HnEZ1Afkb00,11,2,120.99,39.12,39.12,120.99,81.87,0.6766674931812547,1,81.87,False
rZ7HnEZ1Af0P_d,18,2,120.6,39.92,39.92,120.6,80.67999999999999,0.668988391376451,1,80.67999999999999,False
rZ7HnEZ1Af0EuN,18,2,46.34,125.65,46.34,125.65,79.31,1.7114803625377644,1,79.31,False
rZ7HnEZ1AfxoCK,18,2,152.71,74.43,74.43,152.71,78.28,0.512605592299129,1,78.28,False
rZ7HnEZ1AfF3Cf,5,2,117.61,39.59,39.59,117.61,78.02,0.6633789643737777,1,78.02,False
rZ7HnEZ1Afk_jV,6,2,113.47,40.67,40.67,113.47,72.8,0.6415792720542874,1,72.8,False
rZ7HnEZ1AfFo_7,7,2,94.45,22.35,22.35,94.45,72.1,0.7633668607728956,1,72.1,False
rZ7HnEZ1AfqzjS,18,2,141.31,69.32,69.32,141.31,71.99000000000001,0.5094473144151157,1,71.99000000000001,False
rZ7HnEZ1AfJa1K,14,2,0.0,71.31,0.0,71.31,71.31,,1,71.31,False
rZ7HnEZ1AfxFFd,6,2,0.0,69.94,0.0,69.94,69.94,,1,69.94,False
rZ7HnEZ1AfPMOS,18,2,100.55,31.55,31.55,100.55,69.0,0.6862257583291895,1,69.0,False
rZ7HnEZ1AfFkq0,5,2,104.91,36.46,36.46,104.91,68.44999999999999,0.6524640167762843,1,68.44999999999999,False
rZ7HnEZ1Af03Pd,18,2,67.3,0.0,0.0,67.3,67.3,1.0,1,67.3,False
rZ7HnEZ1AfP0ad,18,2,0.0,66.55,0.0,66.55,66.55,,1,66.55,False
rZ7HnEZ1AfPOuN,18,2,111.83,46.19,46.19,111.83,65.64,0.5869623535723867,1,65.64,False
rZ7HnEZ1AfqEkd,18,2,64.24,0.0,0.0,64.24,64.24,1.0,1,64.24,False
rZ7HnEZ1AfxfrK,18,2,84.95,23.15,23.15,84.95,61.800000000000004,0.7274867569158329,1,61.800000000000004,False
rZ7HnEZ1Af-vGd,18,2,61.44,0.0,0.0,61.44,61.44,1.0,1,61.44,False
rZ7HnEZ1Af0bbd,18,2,61.05,0.0,0.0,61.05,61.05,1.0,1,61.05,False
rZ7HnEZ1AfkeuV,18,2,60.95,0.0,0.0,60.95,60.95,1.0,1,60.95,False
rZ7HnEZ1AfPVAK,18,2,0.0,60.3,0.0,60.3,60.3,,1,60.3,False
rZ7HnEZ1AfPzuS,18,2,87.54,28.83,28.83,87.54,58.71000000000001,0.6706648389307746,1,58.71000000000001,False
rZ7HnEZ1AfkofV,11,2,0.0,58.67,0.0,58.67,58.67,,1,58.67,False
rZ7HnEZ1AfFoa0,5,2,87.96,29.77,29.77,87.96,58.19,0.6615507048658481,1,58.19,False
rZ7HnEZ1Afkfqf,13,2,0.0,58.07,0.0,58.07,58.07,,1,58.07,False
rZ7HnEZ1Af0oaK,18,2,0.0,57.88,0.0,57.88,57.88,,1,57.88,False
rZ7HnEZ1AfxpjK,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1AfxpjN,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1AfxpjS,18,2,56.67,0.0,0.0,56.67,56.67,1.0,1,56.67,False
rZ7HnEZ1Af-Z3K,18,2,0.0,0.0,0.0,56.26,56.26,,2,112.52,False
rZ7HnEZ1AfPSrd,18,2,87.95,32.55,32.55,87.95,55.400000000000006,0.6299033541785105,1,55.400000000000006,False
rZ7HnEZ1AfPeZN,18,2,0.0,55.3,0.0,55.3,55.3,,1,55.3,False
rZ7HnEZ1AfrZod,18,2,55.3,0.0,0.0,55.3,55.3,1.0,1,55.3,False
rZ7HnEZ1AfP9aN,18,2,54.99,0.0,0.0,54.99,54.99,1.0,1,54.99,False
rZ7HnEZ1AfJaoK,14,2,95.05,42.05,42.05,95.05,53.0,0.5576012624934246,1,53.0,False
rZ7HnEZ1Af-t1K,18,2,0.0,52.95,0.0,52.95,52.95,,1,52.95,False
