extract_ts_utc,ticket_url,ticket_domain,ld_type,event_name,start_date,venue_name,event_status,offer_type,offer_name,availability,currency,valid_from,price_min,price_max
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/ffdjuly26,shotgun.live,MusicEvent,Five Finger Disco: Fever,2026-07-12,White Horse Inn,EventScheduled,Offer,General Admission,InStock,USD,2026-06-12T15:57:55.000Z,10,10
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/ffdjuly26,shotgun.live,MusicEvent,Five Finger Disco: Fever,2026-07-12,White Horse Inn,EventScheduled,Offer,Pay-It-Forward Admission,InStock,USD,2026-06-12T15:57:55.000Z,15,15
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/ffdsummer1,shotgun.live,MusicEvent,Five Finger Disco X Elements: Summer Series Vol 1,2026-07-18,7th West,EventScheduled,Offer,Early Bird [Limited],InStock,USD,2026-06-18T18:48:56.000Z,15,15
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/ffdsummer1,shotgun.live,MusicEvent,Five Finger Disco X Elements: Summer Series Vol 1,2026-07-18,7th West,EventScheduled,Offer,Summer Pass (All 3 Summer Series Events),InStock,USD,2026-06-18T18:48:56.000Z,40,40
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/fill-your-cups?uhandle=vve106,shotgun.live,MusicEvent,Fill Your Cups,2026-07-12,Underground SF,EventScheduled,Offer,$10 Advanced Ticket,InStock,USD,2026-06-02T19:56:13.000Z,8.89,8.89
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,⭐️ Before 10PM : Early Bird,SoldOut,USD,2026-06-23T17:37:40.000Z,12,12
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,‼️LAST CALL‼️,InStock,USD,2026-06-23T17:37:40.000Z,30,30
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,🏆 Anytime : Early Bird,SoldOut,USD,2026-06-23T17:37:40.000Z,15,15
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,⭐️ Before 10PM : GA,SoldOut,USD,2026-06-23T17:37:40.000Z,15,15
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,🏆 Anytime : Tier 2,SoldOut,USD,2026-06-23T17:37:40.000Z,18,18
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,⭐️ Before 10PM : Last Call,InStock,USD,2026-06-23T17:37:40.000Z,18,18
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,🏆 Anytime : Tier 3,SoldOut,USD,2026-06-23T17:37:40.000Z,20,20
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/lez-lucha,shotgun.live,MusicEvent,Lez Lucha,2026-07-18,Crybaby,EventScheduled,Offer,🏆 Anytime : Last Call,InStock,USD,2026-06-23T17:37:40.000Z,25,25
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/texture-summit-pres-satoshie-tomiie-sushitech-japan,shotgun.live,MusicEvent,Texture Summit Pres. Satoshi Tomiie (Sushitech/ Japan),2026-07-18,Monarch,EventScheduled,Offer,Early Bird,SoldOut,USD,2026-06-24T18:18:48.000Z,15,15
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/texture-summit-pres-satoshie-tomiie-sushitech-japan,shotgun.live,MusicEvent,Texture Summit Pres. Satoshi Tomiie (Sushitech/ Japan),2026-07-18,Monarch,EventScheduled,Offer,Tier 1,LimitedAvailability,USD,2026-06-24T18:18:48.000Z,20,20
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/texture-summit-pres-satoshie-tomiie-sushitech-japan,shotgun.live,MusicEvent,Texture Summit Pres. Satoshi Tomiie (Sushitech/ Japan),2026-07-18,Monarch,EventScheduled,Offer,Tier 2,InStock,USD,2026-06-24T18:18:48.000Z,25,25
2026-07-08T07:53:06+00:00,https://shotgun.live/en/events/texture-summit-pres-satoshie-tomiie-sushitech-japan,shotgun.live,MusicEvent,Texture Summit Pres. Satoshi Tomiie (Sushitech/ Japan),2026-07-18,Monarch,EventScheduled,Offer,Tier 3,InStock,USD,2026-06-24T18:18:48.000Z,30,30
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/apres-mundi-a-burning-man-camp-fundraiser-tickets-1991792861065,eventbrite.com,SocialEvent,Après Mundi: a Burning Man Community Celebration!,2026-07-11,The Loom,EventScheduled,AggregateOffer,,InStock,USD,2026-06-22T07:00:00Z,33.51,54.79
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/atomic-groove-tickets-1990545954534,eventbrite.com,SocialEvent,ATOMIC GROOVE,2026-08-01,Drake's Brewing Company,EventScheduled,AggregateOffer,,InStock,USD,2026-05-27T07:00:00Z,0.0,0.0
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/att-pres-greg-downey-tickets-1992660630587?utm-campaign=social&utm-content=attendeeshare&utm-medium=discovery&utm-term=listing&utm-source=wsa&aff=ebdsshwebmobile,eventbrite.com,SocialEvent,ATT Pres. Greg Downey,2026-08-15,926 2nd St,EventScheduled,AggregateOffer,,InStock,USD,2026-06-26T07:00:00Z,23.18,23.18
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/chris-lake-arena-green-east-san-jose-tickets-1991719990106,eventbrite.com,Event,CHRIS LAKE - Arena Green East - San Jose,2026-08-22,Arena Green East,EventScheduled,AggregateOffer,,InStock,USD,2026-06-16T17:00:00Z,65.0,200.83
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/colorize-san-francisco-praana-mees-salome-jack-willard-tickets-1985934294936,eventbrite.com,Event,Colorize: San Francisco  - PRAANA  | Mees Salomé | Jack Willard,2026-07-31,The Great Northern,EventScheduled,AggregateOffer,,InStock,USD,2026-03-25T07:00:00Z,31.69,37.33
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/daft-disko-san-francisco-labor-day-sunday-tickets-1992246171930,eventbrite.com,Event,Daft Disko: San Francisco [Labor Day Sunday],2026-09-06,Audio,EventScheduled,AggregateOffer,,InStock,USD,2026-04-10T06:30:00Z,0.0,1305.19
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/daxson-live-in-san-jose-tickets-1990544304599,eventbrite.com,Event,Daxson Live In San Jose,2026-07-25,Aura Kitchen + Bar,EventScheduled,AggregateOffer,,InStock,USD,2026-07-26T04:30:00Z,12.51,23.18
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/desert-hearts-san-jose-rooftop-party-tickets-1992137866987,eventbrite.com,SocialEvent,Desert Hearts San Jose Rooftop Party,2026-08-09,Blanco Urban Venue,EventScheduled,AggregateOffer,,InStock,USD,2026-06-18T18:55:00Z,23.18,33.85
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/dream-whirled-tickets-1992070558666,eventbrite.com,SocialEvent,DREAM WHIRLED,2026-07-10,Club Waziema,EventScheduled,AggregateOffer,,InStock,USD,2026-06-17T07:00:00Z,33.85,33.85
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/fromclay-thatfranco-tickets-1990995712773,eventbrite.com,Event,fromclay + thatfranco,2026-07-25,ERIA Marina,EventScheduled,AggregateOffer,,InStock,USD,2026-06-03T07:00:00Z,17.85,28.52
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/frytm-presents-ursul-tickets-1990429565411,eventbrite.com,Event,FRYTM presents: URSUL,2026-07-11,The Great Northern,EventScheduled,AggregateOffer,,InStock,USD,2026-05-26T07:00:00Z,25.55,48.85
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/green-gorilla-lounge-when-darkness-sparkles-sparkly-outfits-encourage-tickets-1990996697719,eventbrite.com,Event,Green Gorilla Lounge - WHEN DARKNESS SPARKLES - Sparkly Outfits Encourage!,2026-07-10,Monarch,EventScheduled,AggregateOffer,,InStock,USD,2026-06-03T07:00:00Z,0.0,25.55
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/inner-circle-ft-matt-jereza-marky-method-tickets-1992182164482,eventbrite.com,SocialEvent,Inner Circle ft. Matt Jereza + Marky Method,2026-07-09,White Rabbit Bar,EventScheduled,AggregateOffer,,InStock,USD,2026-05-13T07:00:00Z,0.0,0.0
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/jus-dance-feat-mark-farina-mr-v-a-ramirez-touch-experience-tickets-1992793291379,eventbrite.com,Event,Jus Dance Feat. Mark Farina & Mr. V (A Ramirez Touch Experience),2026-07-10,Cardiff & Cocktails,EventScheduled,AggregateOffer,,SoldOut,USD,,17.85,268.61
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/kwon-yeonsu-live-in-san-jose-tickets-1991205508277,eventbrite.com,Event,Kwon Yeonsu Live In San Jose,2026-08-22,Aura Kitchen + Bar,EventScheduled,AggregateOffer,,InStock,USD,2026-06-05T17:00:00Z,12.51,23.18
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/loukeman-dyltwosix-nonsuit-tickets-1989850734111,eventbrite.com,Event,Loukeman | Dyltwosix | nonsuit,2026-10-10,Monarch,EventScheduled,AggregateOffer,,SoldOut,USD,,31.69,37.33
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/matt-sassari-live-in-san-jose-tickets-1987464571033,eventbrite.com,Event,Matt Sassari Live In San Jose,2026-08-28,Aura Kitchen + Bar,EventScheduled,AggregateOffer,,SoldOut,USD,,12.51,108.55
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/mura-masa-curve-tickets-1991028506861,eventbrite.com,Event,Mura Masa // Curve,2026-07-18,VENUE TBA,EventScheduled,AggregateOffer,,SoldOut,USD,,42.37,48.03
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/night-vision-show-tickets-1991498656090,eventbrite.com,Event,Night Vision Show,2026-08-14,Homestead Bowl & The X Bar,EventScheduled,AggregateOffer,,InStock,USD,2026-06-09T07:00:00Z,12.51,12.51
2026-07-08T07:53:06+00:00,https://www.eventbrite.com/e/night-vision-w-nail-polish-chalk-teeth-tickets-1992070137406,eventbrite.com,Event,Night Vision w/ Nail Polish & Chalk Teeth,2026-07-10,The Great Northern,EventScheduled,AggregateOffer,,InStock,USD,2026-06-17T07:00:00Z,11.28,19.66
