dimension,value,n_events,n_any_price,n_complete,pct_complete,median_days_with_price
genre,Rock,11564,1956,1686,14.6,0.0
genre,Alternative,2245,1304,1101,49.0,11.0
genre,Jazz,1561,1152,918,58.8,15.0
genre,Other,4670,833,668,14.3,0.0
genre,Country,3681,736,639,17.4,0.0
genre,Fairs & Festivals,541,444,439,81.1,15.0
genre,Pop,4252,482,412,9.7,0.0
genre,Dance/Electronic,952,500,408,42.9,3.0
genre,Folk,874,390,325,37.2,0.0
genre,Hip-Hop/Rap,2119,373,312,14.7,0.0
genre,Metal,1253,337,288,23.0,0.0
genre,R&B,1613,294,254,15.7,0.0
genre,World,621,275,232,37.4,0.0
genre,Blues,710,265,230,32.4,0.0
genre,Religious,258,151,138,53.5,15.0
