dimension,value,n_events,n_any_price,n_complete,pct_complete,median_days_with_price
venue_state_code,NY,3846,1788,1531,39.8,0.0
venue_state_code,CA,5655,1646,1406,24.9,0.0
venue_state_code,IL,1897,779,670,35.3,0.0
venue_state_code,TN,1456,603,525,36.1,0.0
venue_state_code,MI,1209,541,465,38.5,0.0
venue_state_code,WA,1186,431,385,32.5,0.0
venue_state_code,OH,1400,455,377,26.9,0.0
venue_state_code,FL,1222,365,296,24.2,0.0
venue_state_code,CO,1564,324,287,18.4,0.0
venue_state_code,OR,642,328,265,41.3,2.0
venue_state_code,PA,1517,249,228,15.0,0.0
venue_state_code,MA,1491,216,181,12.1,0.0
venue_state_code,LA,537,279,180,33.5,3.0
venue_state_code,AZ,1041,224,168,16.1,0.0
venue_state_code,KY,433,194,165,38.1,0.0
