event_id,present_days,priced_days,interior_absent,unpriced_present,leading_absent,trailing_absent,first_present,last_present
rZ7HnEZ1AfOMqd,16,1,0,15,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfOgON,16,2,0,14,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfOdFK,16,3,0,13,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfroCK,16,3,0,13,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfqVAN,16,4,0,12,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-z1d,16,7,0,9,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfPVjN,16,8,0,8,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af-aGS,16,9,0,7,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Afqp1d,16,9,0,7,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af0AaS,16,10,0,6,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfOKeK,16,10,0,6,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfOP-S,16,10,0,6,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfOKGK,16,11,0,5,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af--uS,16,13,0,3,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfqZGN,16,14,0,2,0,0,2026-06-11,2026-06-26
rZ7HnEZ1Af0F4N,16,15,0,1,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AfFkq0,4,3,0,1,12,0,2026-06-23,2026-06-26
rZ7HnEZ1AK-VQf,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AK04_V,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AK0oo7,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AK0y_V,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ3of,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ3qV,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ3v0,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ417,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ7af,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ7o7,16,16,0,0,0,0,2026-06-11,2026-06-26
rZ7HnEZ1AKJ7q0,16,16,0,0,0,0,2026-06-11,2026-06-26
