dma,dma_name,state,geo_code
500,Portland-Auburn ME,ME,US-ME-500
501,New York NY,NY,US-NY-501
502,Binghamton NY,NY,US-NY-502
503,Macon GA,GA,US-GA-503
504,Philadelphia PA,PA,US-PA-504
505,Detroit MI,MI,US-MI-505
506,Boston MA-Manchester NH,MA,US-MA-506
507,Savannah GA,GA,US-GA-507
508,Pittsburgh PA,PA,US-PA-508
509,Ft. Wayne IN,IN,US-IN-509
510,Cleveland-Akron (Canton) OH,OH,US-OH-510
511,Washington DC (Hagerstown MD),DC,US-DC-511
512,Baltimore MD,MD,US-MD-512
513,Flint-Saginaw-Bay City MI,MI,US-MI-513
514,Buffalo NY,NY,US-NY-514
515,Cincinnati OH,OH,US-OH-515
516,Erie PA,PA,US-PA-516
517,Charlotte NC,NC,US-NC-517
518,Greensboro-High Point-Winston Salem NC,NC,US-NC-518
519,Charleston SC,SC,US-SC-519
520,Augusta GA,GA,US-GA-520
521,Providence RI-New Bedford MA,RI,US-RI-521
522,Columbus GA,GA,US-GA-522
523,Burlington VT-Plattsburgh NY,VT,US-VT-523
524,Atlanta GA,GA,US-GA-524
525,Albany GA,GA,US-GA-525
526,Utica NY,NY,US-NY-526
527,Indianapolis IN,IN,US-IN-527
528,Miami-Ft. Lauderdale FL,FL,US-FL-528
529,Louisville KY,KY,US-KY-529
530,Tallahassee FL-Thomasville GA,FL,US-FL-530
531,Tri-Cities TN-VA,TN,US-TN-531
532,Albany-Schenectady-Troy NY,NY,US-NY-532
533,Hartford & New Haven CT,CT,US-CT-533
534,Orlando-Daytona Beach-Melbourne FL,FL,US-FL-534
535,Columbus OH,OH,US-OH-535
536,Youngstown OH,OH,US-OH-536
537,Bangor ME,ME,US-ME-537
538,Rochester NY,NY,US-NY-538
539,Tampa-St. Petersburg (Sarasota) FL,FL,US-FL-539
540,Traverse City-Cadillac MI,MI,US-MI-540
541,Lexington KY,KY,US-KY-541
542,Dayton OH,OH,US-OH-542
543,Springfield-Holyoke MA,MA,US-MA-543
544,Norfolk-Portsmouth-Newport News VA,VA,US-VA-544
545,Greenville-New Bern-Washington NC,NC,US-NC-545
546,Columbia SC,SC,US-SC-546
547,Toledo OH,OH,US-OH-547
548,West Palm Beach-Ft. Pierce FL,FL,US-FL-548
549,Watertown NY,NY,US-NY-549
550,Wilmington NC,NC,US-NC-550
551,Lansing MI,MI,US-MI-551
552,Presque Isle ME,ME,US-ME-552
553,Marquette MI,MI,US-MI-553
554,Wheeling WV-Steubenville OH,WV,US-WV-554
555,Syracuse NY,NY,US-NY-555
556,Richmond-Petersburg VA,VA,US-VA-556
557,Knoxville TN,TN,US-TN-557
