artist,query,dma,geo_code,dma_name,n_events_in_dma,soonest_in_dma
2 Chainz,2 Chainz,561,US-FL-561,Jacksonville FL,1,2026-06-14
5 Seconds of Summer,5 Seconds of Summer,501,US-NY-501,New York NY,1,2026-06-14
A$AP Rocky,ASAP Rocky,534,US-FL-534,Orlando-Daytona Beach-Melbourne FL,1,2026-06-14
Alison Krauss and Union Station,Alison Krauss and Union Station,679,US-IA-679,Des Moines-Ames IA,1,2026-06-14
Ariana Grande,Ariana Grande,803,US-CA-803,Los Angeles CA,4,2026-06-14
Blackberry Smoke,Blackberry Smoke,757,US-ID-757,Boise ID,1,2026-06-14
Bob Dylan,Bob Dylan,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-06-14
Brit Floyd,Brit Floyd,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-06-14
Chance The Rapper,Chance The Rapper,561,US-FL-561,Jacksonville FL,1,2026-06-14
Chicago,Chicago,501,US-NY-501,New York NY,2,2026-06-14
Cold War Kids,Cold War Kids,504,US-PA-504,Philadelphia PA,1,2026-06-14
Crystal Lake,Crystal Lake,504,US-PA-504,Philadelphia PA,1,2026-06-14
Entheos,Entheos,504,US-PA-504,Philadelphia PA,1,2026-06-14
Evanescence,Evanescence,524,US-GA-524,Atlanta GA,1,2026-06-14
Get the Led Out,Get the Led Out,501,US-NY-501,New York NY,6,2026-06-14
Gigi Perez,Gigi Perez,528,US-FL-528,Miami-Ft. Lauderdale FL,1,2026-06-14
Happy Together Tour,Happy Together Tour,504,US-PA-504,Philadelphia PA,1,2026-06-14
JINJER,JINJER,504,US-PA-504,Philadelphia PA,1,2026-06-14
Journey,Journey,563,US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI,1,2026-06-14
Koe Wetzel,Koe Wetzel,807,US-CA-807,San Francisco-Oakland-San Jose CA,1,2026-06-14
Lenny Pearce,Lenny Pearce,751,US-CO-751,Denver CO,1,2026-06-14
Marcus King Band,Marcus King Band,514,US-NY-514,Buffalo NY,1,2026-06-14
Modest Mouse,Modest Mouse,659,US-TN-659,Nashville TN,1,2026-06-14
Mumford & Sons,Mumford & Sons,501,US-NY-501,New York NY,5,2026-06-14
Mumford & Sons,Mumford & Sons,508,US-PA-508,Pittsburgh PA,1,2026-06-14
Nova Twins,Nova Twins,524,US-GA-524,Atlanta GA,1,2026-06-14
Shakey Graves,Shakey Graves,501,US-NY-501,New York NY,3,2026-06-14
Shakira,Shakira,803,US-CA-803,Los Angeles CA,1,2026-06-14
Spiritbox,Spiritbox,524,US-GA-524,Atlanta GA,1,2026-06-14
Stone Temple Pilots,Stone Temple Pilots,609,US-MO-609,St. Louis MO,1,2026-06-14
Taking Back Sunday,Taking Back Sunday,567,US-SC-567,Greenville-Spartanburg SC-Asheville NC-Anderson SC,1,2026-06-14
Tedeschi Trucks Band,Tedeschi Trucks Band,659,US-TN-659,Nashville TN,3,2026-06-14
The Band CAMINO,The Band CAMINO,501,US-NY-501,New York NY,1,2026-06-14
The Wallflowers,The Wallflowers,679,US-IA-679,Des Moines-Ames IA,1,2026-06-14
Toadies,Toadies,803,US-CA-803,Los Angeles CA,3,2026-06-14
Whiskey Myers,Whiskey Myers,555,US-NY-555,Syracuse NY,1,2026-06-14
Wyatt Flores,Wyatt Flores,630,US-AL-630,Birmingham AL,1,2026-06-14
Young the Giant,Young the Giant,504,US-PA-504,Philadelphia PA,1,2026-06-14
A$AP Rocky,ASAP Rocky,528,US-FL-528,Miami-Ft. Lauderdale FL,1,2026-06-15
Evanescence,Evanescence,659,US-TN-659,Nashville TN,1,2026-06-15
Goose,Goose,544,US-VA-544,Norfolk-Portsmouth-Newport News VA,3,2026-06-15
Koe Wetzel,Koe Wetzel,803,US-CA-803,Los Angeles CA,1,2026-06-15
Nova Twins,Nova Twins,659,US-TN-659,Nashville TN,1,2026-06-15
Santana,Santana,563,US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI,1,2026-06-15
Spiritbox,Spiritbox,659,US-TN-659,Nashville TN,1,2026-06-15
The Doobie Brothers,The Doobie Brothers,563,US-MI-563,Grand Rapids-Kalamazoo-Battle Creek MI,1,2026-06-15
5 Seconds of Summer,5 Seconds of Summer,524,US-GA-524,Atlanta GA,1,2026-06-16
Alison Krauss and Union Station,Alison Krauss and Union Station,724,US-ND-724,Fargo-Valley City ND,1,2026-06-16
Cold War Kids,Cold War Kids,514,US-NY-514,Buffalo NY,1,2026-06-16
Crystal Lake,Crystal Lake,508,US-PA-508,Pittsburgh PA,1,2026-06-16
